iteration,total_reward,policy_loss,fdm_loss
1 , -436.309593 , 0.337658 , 0.504808
2 , -206.924088 , 0.233511 , 0.324879
3 , -286.641876 , 0.223596 , 0.292734
4 , -189.647148 , 0.261256 , 0.149831
5 , -352.028367 , 0.197934 , 0.183851
6 , -66.857357 , 0.215006 , 0.213920
7 , -218.342159 , 0.253079 , 0.285802
8 , -236.847060 , 0.199595 , 0.271636
9 , -193.859317 , 0.200673 , 0.241783
10 , -158.012928 , 0.193115 , 0.271144
11 , -159.683741 , 0.222334 , 0.323528
12 , -177.225856 , 0.247686 , 0.268556
13 , -293.130020 , 0.212602 , 0.303737
14 , -333.276367 , 0.178678 , 0.268488
15 , -253.545296 , 0.219379 , 0.286209
16 , 28.584706 , 0.200661 , 0.275966
17 , -338.702260 , 0.216206 , 0.263956
18 , -121.793790 , 0.218340 , 0.351871
19 , -281.066975 , 0.278951 , 0.228535
20 , -189.860082 , 0.218349 , 0.246980
21 , -53.063893 , 0.218862 , 0.262067
22 , -96.065408 , 0.206893 , 0.156159
23 , -151.718540 , 0.210384 , 0.238558
24 , -14.463114 , 0.231830 , 0.255605
25 , -3.406903 , 0.215930 , 0.119879
26 , 261.699886 , 0.203903 , 0.125281
