iteration,reward,average_reward
1 ,  39.0 ,  39.0
2 ,  37.0 ,  38.0
3 ,  25.0 ,  33.7
4 ,  30.0 ,  32.8
5 ,  31.0 ,  32.4
6 ,  22.0 ,  30.7
7 ,  28.0 ,  30.3
8 ,  27.0 ,  29.9
9 ,  39.0 ,  30.9
10 ,  25.0 ,  30.3
11 ,  50.0 ,  32.1
12 ,  26.0 ,  31.6
13 ,  57.0 ,  33.5
14 ,  27.0 ,  33.1
15 ,  30.0 ,  32.9
16 ,  56.0 ,  34.3
17 ,  76.0 ,  36.8
18 ,  72.0 ,  38.7
19 ,  24.0 ,  37.9
20 ,  24.0 ,  37.2
21 ,  58.0 ,  38.2
22 ,  48.0 ,  38.7
23 ,  33.0 ,  38.4
24 ,  75.0 ,  40.0
25 ,  19.0 ,  39.1
26 ,  30.0 ,  38.8
27 ,  40.0 ,  38.8
28 ,  26.0 ,  38.4
29 ,  22.0 ,  37.8
30 , 108.0 ,  40.1
31 ,  79.0 ,  41.4
32 ,  22.0 ,  40.8
33 ,  44.0 ,  40.9
34 ,  47.0 ,  41.1
35 ,  30.0 ,  40.7
36 ,  17.0 ,  40.1
37 ,  28.0 ,  39.8
38 ,  24.0 ,  39.3
39 ,  34.0 ,  39.2
40 ,  65.0 ,  39.9
41 ,  25.0 ,  39.5
42 ,  28.0 ,  39.2
43 ,  67.0 ,  39.9
44 ,  30.0 ,  39.6
