iteration,average_reward,policy_loss,fdm_loss
1 , -327.644795 , 0.000000 , 0.000000
2 , -251.596858 , 0.000000 , 0.000000
3 , -233.234087 , 0.000000 , 0.000000
4 , -160.818756 , 0.000000 , 0.000000
5 , 31.279753 , 0.000000 , 0.000000
6 , -73.053877 , 0.000000 , 0.000000
7 , 72.239838 , 0.000000 , 0.000000
8 , 97.750033 , 0.000000 , 0.000000
9 , 70.036646 , 0.000000 , 0.000000
10 , 41.642706 , 0.000000 , 0.000000
11 , -11.261822 , 0.000000 , 0.000000
12 , 240.264762 , 0.000000 , 0.000000
13 , 179.672087 , 0.000000 , 0.000000
14 , 180.810725 , 0.000000 , 0.000000
15 , 205.766747 , 0.000000 , 0.000000
16 , 243.037824 , 0.000000 , 0.000000
17 , 203.452164 , 0.000000 , 0.000000
18 , 228.598863 , 0.000000 , 0.000000
19 , 213.925020 , 0.000000 , 0.000000
20 , 228.564130 , 0.000000 , 0.000000
21 , 241.477089 , 0.000000 , 0.000000
22 , 227.850258 , 0.000000 , 0.000000
23 , 243.060153 , 0.000000 , 0.000000
24 , 198.068002 , 0.000000 , 0.000000
25 , 239.068274 , 0.000000 , 0.000000
26 , 172.864343 , 0.000000 , 0.000000
27 , 223.428814 , 0.000000 , 0.000000
28 , 223.258423 , 0.000000 , 0.000000
29 , 217.044235 , 0.000000 , 0.000000
30 , 214.277652 , 0.000000 , 0.000000
31 , 213.156236 , 0.000000 , 0.000000
32 , 236.441992 , 0.000000 , 0.000000
33 , 198.453202 , 0.000000 , 0.000000
34 , 203.299788 , 0.000000 , 0.000000
35 , 230.369909 , 0.000000 , 0.000000
36 , 215.554594 , 0.000000 , 0.000000
37 , 223.628180 , 0.000000 , 0.000000
38 , 235.766827 , 0.000000 , 0.000000
39 , 203.179958 , 0.000000 , 0.000000
40 , 229.099834 , 0.000000 , 0.000000
41 , 237.383740 , 0.000000 , 0.000000
42 , 200.043168 , 0.000000 , 0.000000
43 , 197.343077 , 0.000000 , 0.000000
44 , 214.050081 , 0.000000 , 0.000000
45 , 241.258076 , 0.000000 , 0.000000
46 , 220.156449 , 0.000000 , 0.000000
47 , 224.002347 , 0.000000 , 0.000000
48 , 228.221706 , 0.000000 , 0.000000
49 , 217.385502 , 0.000000 , 0.000000
50 , 222.951661 , 0.000000 , 0.000000
