iteration,reward,feedback_rate(/sec)
1 , -42.582205 , 0.597329
2 , -26.556309 , 0.364519
3 , -14.134727 , 0.033120
4 , -17.222042 , 0.132489
5 , -28.478778 , 0.463835
6 , -35.300144 , 0.927790
7 , -16.704924 , 0.132543
8 , -7.224732 , 0.000000
9 , -17.840068 , 0.000000
10 , -23.735420 , 0.000000
11 , -25.712598 , 0.000000
12 , -18.580166 , 0.000000
13 , -21.697247 , 0.000000
14 , -22.712181 , 0.265008
15 , -35.576476 , 0.000000
16 , -17.380199 , 0.000000
17 , -16.271739 , 0.000000
18 , -26.573193 , 0.066243
19 , -38.874945 , 0.563022
20 , -20.879611 , 0.232082
21 , -19.540568 , 0.000000
22 , -91.461672 , 0.000000
23 , -36.486781 , 0.563201
24 , -26.832570 , 0.397853
25 , -18.639118 , 0.231894
26 , -33.254775 , 0.000000
