# {"t_start": 1586113818.4670537, "env_id": "Reacher-v2"} 
r,l,t
-84.482406,490,2.188522
-87.854817,490,2.883044
-136.296592,490,3.217092
-140.382148,490,3.812378
-148.795626,490,4.324791
-147.686558,490,5.084279
-137.32393,490,6.234119
-170.844143,490,6.841197
-132.284559,490,7.390653
-118.329496,490,8.166025
-156.948449,490,8.689089
-124.095548,490,9.228644
-158.530781,490,9.99332
-159.938611,490,10.528491
-163.114953,490,11.068725
-126.773183,490,11.852388
-136.023667,490,12.362681
-135.293453,490,12.893569
-131.411216,490,13.669351
-130.409199,490,14.207952
-125.31798,490,14.739957
-128.746306,490,15.530931
-132.944797,490,16.064708
-126.715581,490,16.589945
-125.769385,490,17.389176
-123.081772,490,17.921
-129.185467,490,18.465072
-126.882589,490,19.253882
-141.707169,490,19.794052
-127.001164,490,20.339069
-126.670908,490,21.141517
-131.198388,490,21.679712
-127.032367,490,22.220734
-127.233305,490,23.044354
-136.317564,490,23.568723
-123.47675,490,24.109088
-129.591567,490,24.918592
-126.632194,490,25.448348
-127.753955,490,25.992497
-143.560816,490,26.781478
-166.476703,490,27.293674
-170.548075,490,27.814696
-187.126614,490,28.615234
-221.172288,490,29.139348
-220.815929,490,29.647238
-268.29605,490,30.44259
-315.453719,490,30.950616
-286.650618,490,31.473611
-297.464648,490,32.344412
-299.46021,490,32.776075
-188.281,490,33.285743
-192.751685,490,33.816487
-192.267831,490,34.645727
-182.784887,490,35.218268
-191.19895,490,35.773268
-350.875985,490,36.594487
-210.333205,490,37.109002
-214.116876,490,37.61586
-256.539054,490,38.434336
-240.46072,490,38.946151
-268.514736,490,39.452928
-401.794902,490,40.263184
-453.390673,490,40.770831
-491.714208,490,41.294824
-496.810001,490,42.151031
-496.03237,490,42.684793
-491.939678,490,43.223371
-495.247217,490,44.074698
-496.959611,490,44.588031
-498.043323,490,45.115566
-492.730736,490,45.958783
-496.782245,490,46.489022
-494.366561,490,47.023101
-492.986352,490,47.889778
-493.199158,490,48.436179
-491.262213,490,48.973607
-491.822858,490,49.835156
-491.587801,490,50.342467
-489.30811,490,50.828087
-489.894268,490,51.836509
-488.518926,490,52.505575
-486.914899,490,53.203022
-486.951197,490,54.294432
-486.547037,490,55.426607
-488.048666,490,56.223626
-485.471537,490,57.243828
-485.212165,490,57.813804
-483.457333,490,58.363211
-484.311633,490,59.602665
-483.308274,490,60.755936
-481.561443,490,61.833456
-481.252306,490,63.216966
-480.350181,490,63.821739
-477.640831,490,64.455647
-478.190817,490,65.55564
-476.970177,490,66.173
-476.297284,490,66.787019
-475.521234,490,67.808949
-475.983491,490,68.406347
-474.768596,490,69.010927
-479.765063,490,70.21452
-478.754249,490,72.154486
-478.095304,490,73.16629
-431.990841,490,74.100145
-435.856013,490,75.714444
-432.543372,490,76.668081
-432.998304,490,77.573713
-431.540949,490,79.174156
-430.191822,490,80.165284
-429.3787,490,81.166096
-428.758547,490,83.276392
-428.049405,490,84.639698
-427.5431,490,85.930281
-425.30312,490,87.85565
-423.70117,490,88.759311
-422.306212,490,89.422477
-423.125825,490,90.495876
-421.811529,490,91.129463
-420.069945,490,91.786637
-418.784759,490,92.906035
-416.443572,490,93.570332
-417.08915,490,94.306976
-415.393231,490,95.558681
-415.879644,490,96.259783
-413.547504,490,96.919737
-414.24815,490,98.149444
-414.660327,490,98.802276
-413.538945,490,99.422838
-412.215072,490,100.518971
-410.823046,490,101.127972
-408.322484,490,101.745084
-402.171879,490,102.80836
-203.721954,490,103.391473
-454.439812,490,103.967364
-355.087127,490,105.048949
-174.490443,490,105.645049
-176.148215,490,106.259879
-178.802257,490,107.40037
-177.628188,490,108.234468
-177.589972,490,109.528081
-177.000544,490,110.847804
-183.73971,490,111.456836
-212.569028,490,111.987547
-220.355262,490,113.000083
-220.612109,490,113.523552
-220.306867,490,114.050555
-218.555283,490,115.047679
-219.076401,490,115.55671
-217.031332,490,116.061456
-217.797979,490,116.486899
-217.585343,490,117.557735
-216.176596,490,118.08647
-216.196962,490,118.632212
-215.849044,490,119.633832
-255.803836,490,120.116538
-274.188634,490,120.614381
-239.894877,490,121.592037
-254.042222,490,122.126715
-276.583596,490,122.666144
-275.115529,490,123.690242
-245.574187,490,124.233158
-257.566289,490,124.867466
-241.585661,490,126.053073
-250.983751,490,126.579342
-277.25718,490,127.104852
-238.999765,490,128.220438
-272.879082,490,128.743902
-295.95037,490,129.266393
-477.163693,490,130.294106
-261.957503,490,130.792678
-158.973304,490,131.298182
-169.578994,490,132.288676
-158.245781,490,132.803077
-134.058093,490,133.332704
-150.041389,490,134.365949
-142.5175,490,134.893085
-150.668006,490,135.398077
-125.045871,490,136.475813
-121.11249,490,136.960545
-137.264462,490,137.472338
-538.15449,490,138.491774
-636.344345,490,138.979685
-117.805949,490,139.491717
-116.590424,490,140.51669
-387.320086,490,141.021889
-172.190885,490,141.552697
-170.841953,490,142.605457
-178.597568,490,143.101208
-175.505497,490,143.612241
-220.120099,490,144.647849
-403.725331,490,145.140265
-433.0006,490,145.658478
-408.564983,490,146.727533
-278.659005,490,147.21355
-357.047022,490,147.71629
-231.948146,490,148.972844
-232.525955,490,149.538177
-251.570419,490,150.224899
-878.040439,490,151.580834
-329.095581,490,152.100561
-375.447721,490,152.66239
-388.090319,490,153.197412
-460.4218,490,154.239596
-606.934435,490,154.753531
-570.83962,490,155.306482
-689.258702,490,156.437926
-720.893317,490,157.010143
-850.038342,490,157.562095
-952.387957,490,158.635352
-960.337184,490,159.142819
-988.321733,490,159.661528
-973.618853,490,160.755587
-968.46123,490,161.265122
